gk_name,team,match_id,minute,period,action_type,action_category,action_outcome,action_x,action_y,body_part,technique
Patrick Pentz,Austria,3941022,0,1,Goal Conceded,Other,No Touch,1.0,40.3,,Standing
Fehmi Mert Günok,Turkey,3941022,2,1,Shot Faced,Save,,2.5,38.0,,
Fehmi Mert Günok,Turkey,3941022,6,1,Shot Faced,Save,,1.2,37.8,,
Fehmi Mert Günok,Turkey,3941022,11,1,Shot Faced,Save,,1.4,39.4,,
Fehmi Mert Günok,Turkey,3941022,11,1,Shot Faced,Save,,1.6,40.6,,
Patrick Pentz,Austria,3941022,18,1,Shot Faced,Save,,19.3,39.3,,
Patrick Pentz,Austria,3941022,24,1,Shot Faced,Save,,0.7,38.0,,
Fehmi Mert Günok,Turkey,3941022,26,1,Keeper Sweeper,Sweeper,Claim,6.8,42.8,,
Fehmi Mert Günok,Turkey,3941022,32,1,Shot Faced,Save,,1.8,40.7,,
Fehmi Mert Günok,Turkey,3941022,37,1,Collected,Other,Success,5.0,43.7,,
Fehmi Mert Günok,Turkey,3941022,45,1,Shot Faced,Save,,1.4,37.3,,
Fehmi Mert Günok,Turkey,3941022,49,2,Shot Faced,Save,,1.9,41.2,,
Fehmi Mert Günok,Turkey,3941022,50,2,Shot Saved,Save,In Play Safe,7.8,36.4,Left Foot,Standing
Fehmi Mert Günok,Turkey,3941022,52,2,Shot Faced,Save,,4.8,40.8,,
Fehmi Mert Günok,Turkey,3941022,53,2,Shot Faced,Save,,1.6,38.5,,
Patrick Pentz,Austria,3941022,56,2,Shot Faced,Save,,1.9,43.5,,
Patrick Pentz,Austria,3941022,58,2,Goal Conceded,Other,Touched In,0.7,38.1,Left Hand,Standing
Fehmi Mert Günok,Turkey,3941022,61,2,Keeper Sweeper,Sweeper,Claim,7.7,36.6,,
Patrick Pentz,Austria,3941022,63,2,Collected,Other,Collected Twice,10.1,43.5,,
Fehmi Mert Günok,Turkey,3941022,65,2,Shot Faced,Save,,1.2,39.8,,
Fehmi Mert Günok,Turkey,3941022,65,2,Goal Conceded,Other,No Touch,1.0,41.1,,Standing
Fehmi Mert Günok,Turkey,3941022,68,2,Shot Saved,Save,Success,1.6,39.9,Both Hands,Standing
Fehmi Mert Günok,Turkey,3941022,72,2,Punch,Punch,In Play Safe,6.6,42.8,,
Fehmi Mert Günok,Turkey,3941022,73,2,Shot Faced,Save,,3.0,39.7,,
Fehmi Mert Günok,Turkey,3941022,74,2,Shot Saved,Save,Success,2.7,39.2,Both Hands,Standing
Fehmi Mert Günok,Turkey,3941022,74,2,Shot Faced,Save,,5.1,40.6,,
Patrick Pentz,Austria,3941022,75,2,Keeper Sweeper,Sweeper,Claim,15.4,59.3,,
Fehmi Mert Günok,Turkey,3941022,83,2,Shot Faced,Save,,2.2,39.3,,
Fehmi Mert Günok,Turkey,3941022,83,2,Shot Faced,Save,,4.7,41.2,,
Fehmi Mert Günok,Turkey,3941022,85,2,Shot Faced,Save,,0.9,39.8,,
Patrick Pentz,Austria,3941022,87,2,Keeper Sweeper,Sweeper,Clear,14.7,28.5,Left Foot,
Fehmi Mert Günok,Turkey,3941022,90,2,Shot Faced,Save,,0.9,39.4,,
Patrick Pentz,Austria,3941022,93,2,Shot Saved,Save,In Play Safe,6.4,41.0,Both Hands,Standing
Fehmi Mert Günok,Turkey,3941022,94,2,Shot Saved,Save,Touched Out,0.9,38.8,Right Hand,Diving
Florin Constantin Niţă,Romania,3941021,5,1,Shot Saved,Save,Success,1.8,41.4,Both Hands,Standing
Bart Verbruggen,Netherlands,3941021,5,1,Keeper Sweeper,Sweeper,Claim,8.0,56.0,,
Bart Verbruggen,Netherlands,3941021,10,1,Keeper Sweeper,Sweeper,Clear,9.3,32.2,Right Foot,
Bart Verbruggen,Netherlands,3941021,13,1,Shot Faced,Save,,1.5,38.9,,
Florin Constantin Niţă,Romania,3941021,16,1,Shot Faced,Save,,1.0,40.0,,
Florin Constantin Niţă,Romania,3941021,17,1,Shot Faced,Save,,1.2,40.9,,
Florin Constantin Niţă,Romania,3941021,17,1,Collected,Other,Success,3.9,37.8,,
Florin Constantin Niţă,Romania,3941021,19,1,Goal Conceded,Other,Touched In,2.1,42.5,Both Hands,Standing
Bart Verbruggen,Netherlands,3941021,20,1,Shot Faced,Save,,2.7,41.6,,
Bart Verbruggen,Netherlands,3941021,23,1,Shot Faced,Save,,2.6,41.9,,
Florin Constantin Niţă,Romania,3941021,25,1,Shot Faced,Save,,3.0,39.2,,
Florin Constantin Niţă,Romania,3941021,25,1,Shot Faced,Save,,0.9,37.7,,
Florin Constantin Niţă,Romania,3941021,39,1,Punch,Punch,In Play Safe,7.5,39.4,,
Florin Constantin Niţă,Romania,3941021,42,1,Shot Faced,Save,,4.2,40.5,,
Florin Constantin Niţă,Romania,3941021,43,1,Shot Faced,Save,,2.4,40.7,,
