match_id,shooter,shooting_team,goalkeeper,xg,outcome,shot_x,shot_y,minute,period,is_goal,is_save,is_on_target,distance_to_goal,danger_zone
3938642,Patrik Schick,Czech Republic,Giorgi Mamardashvili,0.0473,Wayward,109.3,41.0,50,2,0,0,0,10.746627377926531,Penalty area close
3938642,Ondřej Lingr,Czech Republic,Giorgi Mamardashvili,0.0223,Blocked,115.5,52.2,56,2,0,0,0,13.0034610777285,Penalty area close
3938642,David Jurásek,Czech Republic,Giorgi Mamardashvili,0.0385,Wayward,99.7,31.4,56,2,0,0,0,22.046541678911908,Penalty area edge
3938642,Anzor Mekvabishvili,Georgia,Jindřich Staněk,0.0535,Off T,102.9,34.8,56,2,0,0,0,17.873164241398328,Penalty area close
3938642,Ondřej Lingr,Czech Republic,Giorgi Mamardashvili,0.1681,Post,115.1,44.1,58,2,0,0,0,6.38905313798532,6-yard box
3938642,Patrik Schick,Czech Republic,Giorgi Mamardashvili,0.719,Goal,117.7,36.5,58,2,1,0,1,4.188078318274383,6-yard box
3938642,Ladislav Krejčí,Czech Republic,Giorgi Mamardashvili,0.0597,Off T,111.4,44.7,61,2,0,0,0,9.80051019080129,6-yard box
3938642,Matěj Jurásek,Czech Republic,Giorgi Mamardashvili,0.0359,Saved,95.4,44.6,65,2,0,1,1,25.026386075500387,Outside box
3938642,Khvicha Kvaratskhelia,Georgia,Jindřich Staněk,0.0235,Off T,91.7,36.6,70,2,0,0,0,28.503508555965524,Outside box
3938642,Ladislav Krejčí,Czech Republic,Giorgi Mamardashvili,0.0057,Blocked,82.5,28.6,71,2,0,0,0,39.194514922371475,Outside box
3938642,David Jurásek,Czech Republic,Giorgi Mamardashvili,0.0239,Off T,91.8,35.6,71,2,0,0,0,28.54119829299394,Outside box
3938642,Mojmír Chytil,Czech Republic,Giorgi Mamardashvili,0.0663,Off T,112.8,32.5,76,2,0,0,0,10.396634070698076,Penalty area close
3938642,Ondřej Lingr,Czech Republic,Giorgi Mamardashvili,0.0668,Saved,100.9,45.2,77,2,0,1,1,19.795201438732565,Penalty area edge
3938642,Matěj Jurásek,Czech Republic,Giorgi Mamardashvili,0.0066,Off T,92.7,59.5,78,2,0,0,0,33.54906854146624,Outside box
