match_id,player_name,team_name,type_name,gk_name,xg,outcome,shot_x,shot_y
3938643,Kylian Mbappé Lottin,France,Shot,Łukasz Skorupski,0.03354426,Saved,103.5,23.3
3938643,Kylian Mbappé Lottin,France,Shot,Łukasz Skorupski,0.03001934,Off T,100.0,24.9
3938643,Ousmane Dembélé,France,Shot,Łukasz Skorupski,0.0069303666,Blocked,105.4,60.0
3938643,Kylian Mbappé Lottin,France,Shot,Łukasz Skorupski,0.7835,Goal,108.1,40.1
3938643,Bradley Barcola,France,Shot,Łukasz Skorupski,0.019646157,Saved,116.6,27.4
3938643,Antoine Griezmann,France,Shot,Łukasz Skorupski,0.04413893,Blocked,95.3,45.7
3938643,Robert Lewandowski,Poland,Shot,Mike Maignan,0.023918275,Off T,92.6,31.8
3938643,Robert Lewandowski,Poland,Shot,Mike Maignan,0.7835,Goal,108.0,40.0
3938643,Robert Lewandowski,Poland,Shot,Mike Maignan,0.08196821,Off T,108.7,26.8
3938643,Kacper Urbanski,Poland,Shot,Mike Maignan,0.027794229,Blocked,95.5,32.7
3938643,Olivier Giroud,France,Shot,Łukasz Skorupski,0.102023974,Blocked,107.7,41.7
3938643,Olivier Giroud,France,Shot,Łukasz Skorupski,0.054901406,Blocked,110.2,38.3
3938643,Youssouf Fofana,France,Shot,Łukasz Skorupski,0.023010036,Blocked,94.4,28.8
3938643,Kylian Mbappé Lottin,France,Shot,Łukasz Skorupski,0.044415563,Saved,100.9,29.8
3938641,Stefan Posch,Austria,Shot,Wojciech Szczęsny,0.005845531,Saved,81.5,42.0
3938641,Gernot Trauner,Austria,Shot,Wojciech Szczęsny,0.12611173,Goal,115.0,33.0
3938641,Marcel Sabitzer,Austria,Shot,Wojciech Szczęsny,0.11302879,Blocked,107.5,45.2
3938641,Marcel Sabitzer,Austria,Shot,Wojciech Szczęsny,0.066612996,Saved,105.5,38.4
3938641,Piotr Zieliński,Poland,Shot,Patrick Pentz,0.11300054,Blocked,104.5,43.5
3938641,Nicola Zalewski,Poland,Shot,Patrick Pentz,0.09912066,Off T,106.7,29.1
3938641,Piotr Zieliński,Poland,Shot,Patrick Pentz,0.034465805,Blocked,97.3,46.3
3938641,Piotr Zieliński,Poland,Shot,Patrick Pentz,0.07402389,Blocked,99.4,38.0
3938641,Jan Bednarek,Poland,Shot,Patrick Pentz,0.20368662,Blocked,108.9,40.0
3938641,Krzysztof Piątek,Poland,Shot,Patrick Pentz,0.4451365,Goal,113.8,41.6
3938641,Marcel Sabitzer,Austria,Shot,Wojciech Szczęsny,0.13583574,Blocked,106.9,32.0
3938641,Marcel Sabitzer,Austria,Shot,Wojciech Szczęsny,0.020456407,Off T,90.9,36.1
3938641,Piotr Zieliński,Poland,Shot,Patrick Pentz,0.04249511,Saved,91.6,47.5
3938641,Jakub Piotrowski,Poland,Shot,Patrick Pentz,0.04781311,Blocked,110.1,38.8
3938641,Stefan Posch,Austria,Shot,Wojciech Szczęsny,0.027307073,Blocked,94.0,47.8
