match_id,player,team,gk_name,outcome,is_goal,xg,shot_x,shot_y,gk_x,gk_y,dist_off_line,lateral_offset,dist_to_shot,extreme_position,own_keeper_advanced
3930164,Kevin De Bruyne,Belgium,Martin Dúbravka,Saved,0,0.123351954,109.4,52.0,118.0,42.9,2.0,2.9,12.52,False,False
3930164,Yannick Ferreira Carrasco,Belgium,Martin Dúbravka,Blocked,0,0.10049267,109.8,39.3,118.3,39.5,1.7,-0.5,8.5,False,False
3930164,Romelu Lukaku Menama,Belgium,Martin Dúbravka,Saved,0,0.09231648,110.7,53.2,118.6,43.9,1.4,3.9,12.2,False,False
3930164,Johan Bakayoko,Belgium,Martin Dúbravka,Blocked,0,0.195297,110.9,40.0,115.5,37.7,4.5,-2.3,5.14,False,False
3930164,David Strelec,Slovakia,Koen Casteels,Blocked,0,0.12313379,111.6,44.8,118.1,42.7,1.9,2.7,6.83,False,False
3930164,Amadou Onana,Belgium,Martin Dúbravka,Saved,0,0.11087667,112.7,41.8,119.2,40.7,0.8,0.7,6.59,False,False
3930164,Romelu Lukaku Menama,Belgium,Martin Dúbravka,Saved,0,0.54738164,114.4,38.1,118.1,39.4,1.9,-0.6,3.92,False,False
3930164,Romelu Lukaku Menama,Belgium,Martin Dúbravka,Off T,0,0.08940556,114.8,49.2,118.5,43.5,1.5,3.5,6.8,False,False
3930164,Juraj Kucka,Slovakia,Koen Casteels,Off T,0,0.06432098,115.7,49.2,118.2,43.9,1.8,3.9,5.86,False,False
3930164,Ivan Schranz,Slovakia,Koen Casteels,Goal,1,0.06667144,116.3,28.9,118.5,36.0,1.5,-4.0,7.43,False,False
3930165,Stefan Posch,Austria,Mike Maignan,Off T,0,0.021681927,95.2,54.1,118.0,42.7,2.0,2.7,25.49,False,False
3930165,Marcus Thuram,France,Patrick Pentz,Blocked,0,0.034579307,101.2,26.4,118.4,38.2,1.6,-1.8,20.86,False,False
3930165,Ousmane Dembélé,France,Patrick Pentz,Off T,0,0.01604397,101.6,58.4,118.5,43.2,1.5,3.2,22.73,False,False
3930165,Marcus Thuram,France,Patrick Pentz,Off T,0,0.04839009,103.4,28.8,116.3,36.0,3.7,-4.0,14.77,False,False
3930165,Kylian Mbappé Lottin,France,Patrick Pentz,Blocked,0,0.048833035,103.5,28.8,118.2,38.1,1.8,-1.9,17.39,False,False
3930165,Antoine Griezmann,France,Patrick Pentz,Blocked,0,0.054649312,103.8,52.8,116.9,42.7,3.1,2.7,16.54,False,False
3930165,Kylian Mbappé Lottin,France,Patrick Pentz,Off T,0,0.40426746,103.9,37.9,112.1,39.0,7.9,-1.0,8.27,False,False
3930165,Jules Koundé,France,Patrick Pentz,Blocked,0,0.07075118,106.4,48.3,118.6,43.5,1.4,3.5,13.11,False,False
3930165,Marcus Thuram,France,Patrick Pentz,Saved,0,0.19990508,108.1,33.2,118.5,37.4,1.5,-2.6,11.22,False,False
3930165,Kevin Danso,Austria,Mike Maignan,Wayward,0,0.037411693,108.8,36.7,118.9,39.6,1.1,-0.4,10.51,False,False
3930165,Kylian Mbappé Lottin,France,Patrick Pentz,Saved,0,0.08037747,109.4,25.8,117.8,36.2,2.2,-3.8,13.37,False,False
3930165,Christoph Baumgartner,Austria,Mike Maignan,Saved,0,0.47129205,111.3,38.4,113.5,38.7,6.5,-1.3,2.22,False,False
3930165,Marcus Thuram,France,Patrick Pentz,Saved,0,0.07894939,111.7,52.9,117.8,44.5,2.2,4.5,10.38,False,False
3930165,Patrick Wimmer,Austria,Mike Maignan,Saved,0,0.020267555,111.8,53.1,117.8,43.6,2.2,3.6,11.24,False,False
3930165,Kylian Mbappé Lottin,France,Patrick Pentz,Blocked,0,0.080690145,111.9,40.2,119.4,39.6,0.6,-0.4,7.52,False,False
3930165,Christoph Baumgartner,Austria,Mike Maignan,Saved,0,0.1976641,113.9,50.8,114.6,49.2,5.4,9.2,1.75,False,False
3930165,Antoine Griezmann,France,Patrick Pentz,Wayward,0,0.6972375,114.1,41.1,117.6,36.0,2.4,-4.0,6.19,False,False
